comment,true_sentiment
The burger was delicious and the fries were perfect.,positive
Amazing food and very friendly staff.,positive
"I love this place, the burgers are great.",positive
Fantastic service and tasty chicken sandwich.,positive
The food was fresh and really good.,positive
The burger was terrible and cold.,negative
"I hated the fries, they were soggy.",negative
Bad service and disgusting food.,negative
The meal was awful and the restaurant was dirty.,negative
Very poor quality burger and slow service.,negative
The burger was not good.,negative
"Great, another cold burger.",negative
The fries were good but the burger was terrible.,negative
I expected better from this place.,negative
"The burger looked amazing, but it tasted awful.",negative
